instant,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,month
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8.0,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801.0,2011-01
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12.0,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349.0,2011-01
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11.0,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562.0,2011-01
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19.0,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600.0,2011-01
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52.0,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606.0,2011-01
